Month,Version,Department,FTE,Hires,Exits,PayrollCostTRY,BenefitsCostTRY
2027-03-01,Forecast,Operations,32,0,0,2787549.12,515696.59
2027-03-01,Forecast,Sales,132,0,0,12710617.7,2351464.27
2027-03-01,Forecast,Technology,24,0,0,2908746.96,538118.19
2027-04-01,Forecast,Customer Success,15,0,0,1742218.26,322310.38
2027-04-01,Forecast,Finance & Corporate,20,0,0,2555253.31,472721.86
2027-04-01,Forecast,Marketing,17,0,0,1999195.32,369851.13
2027-04-01,Forecast,Operations,32,0,0,3205681.49,593051.08
2027-04-01,Forecast,Sales,132,0,0,14617210.35,2704183.92
2027-04-01,Forecast,Technology,24,0,0,3345059.0,618835.92
2027-05-01,Forecast,Customer Success,15,0,0,1742218.26,322310.38
2027-05-01,Forecast,Finance & Corporate,20,0,0,2555253.31,472721.86
2027-05-01,Forecast,Marketing,17,0,0,1999195.32,369851.13
2027-05-01,Forecast,Operations,32,0,0,3205681.49,593051.08
2027-05-01,Forecast,Sales,132,0,0,14617210.35,2704183.92
2027-05-01,Forecast,Technology,24,0,0,3345059.0,618835.92
2027-06-01,Forecast,Customer Success,15,0,0,1742218.26,322310.38
2027-06-01,Forecast,Finance & Corporate,20,0,0,2555253.31,472721.86
2027-06-01,Forecast,Marketing,17,0,0,1999195.32,369851.13
2027-06-01,Forecast,Operations,32,0,0,3205681.49,593051.08
2027-06-01,Forecast,Sales,132,0,0,14617210.35,2704183.92
2027-06-01,Forecast,Technology,24,0,0,3345059.0,618835.92
